10 epoch, LR 0.001000, LOSS 1.284386, ACC 72.84%, EER 4.20%, bestEER 4.20%
20 epoch, LR 0.000970, LOSS 0.660009, ACC 84.55%, EER 4.00%, bestEER 4.00%
30 epoch, LR 0.000941, LOSS 0.485892, ACC 88.45%, EER 3.80%, bestEER 3.80%
40 epoch, LR 0.000913, LOSS 0.405468, ACC 90.32%, EER 5.20%, bestEER 3.80%
50 epoch, LR 0.000885, LOSS 0.356766, ACC 91.38%, EER 4.60%, bestEER 3.80%
60 epoch, LR 0.000859, LOSS 0.324583, ACC 92.16%, EER 4.00%, bestEER 3.80%
70 epoch, LR 0.000833, LOSS 0.299887, ACC 92.77%, EER 4.60%, bestEER 3.80%
80 epoch, LR 0.000808, LOSS 0.272651, ACC 93.37%, EER 4.40%, bestEER 3.80%
90 epoch, LR 0.000784, LOSS 0.255653, ACC 93.77%, EER 5.40%, bestEER 3.80%
